Comment,Designator,Footprint,LCSC,Quantity
5.1k,"R1,R2,R3,R4,R6,R7",R_0201_0603Metric,C100142,6
10,"R10,R11,R12,R13,R14",R_0201_0603Metric,C100148,5
330,"R15,R16,R19",R_0201_0603Metric,C100175,3
0.1 pF,"C1,C3,C6",C_0201_0603Metric,C124760,3
12.0 k,R5,R_0201_0603Metric,C138116,1
39.2 K,R17,R_0201_0603Metric,C158556,1
KC2520Z,Y2,Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm,C17282989,1
0.1,"C10,C4,C5,C7,C8,C9",C_0201_0603Metric,C181047,6
12.4k,R9,R_0201_0603Metric,C239755,1
USB_C_Receptacle,"J1,J2,J4",AMPHENOL_12401826E412A,C3197788,3
61.9 K,R18,R_0201_0603Metric,C320985,1
4.7,C11,C_0201_0603Metric,C335103,1
1.0 M,R8,R_0201_0603Metric,C423793,1
FerriteBead,FB1,L_Ferrocore_DLG-0302,C442498,1
33 pF,C2,C_0201_0603Metric,C56903,1
LAN9512i,U2,QFN-64-1EP_9x9mm_P0.5mm_EP7.3x7.3mm,C633505,1
