Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1 pF,C_0201_0603Metric,138.25,-69.25,180.0,top
C10,0.1,C_0201_0603Metric,138.82,-79.75,0.0,top
C11,4.7,C_0201_0603Metric,153.68,-83.75,0.0,top
C2,33 pF,C_0201_0603Metric,138.0,-70.75,90.0,top
C3,0.1,C_0201_0603Metric,153.0,-75.25,0.0,top
C4,0.1,C_0201_0603Metric,154.75,-77.07,-90.0,top
C5,0.1 uF,C_0201_0603Metric,138.18,-73.25,180.0,top
C6,330,C_0201_0603Metric,151.5,-73.0,0.0,top
C7,0.1 uF,C_0201_0603Metric,151.655,-82.75,0.0,top
C8,1.0,C_0201_0603Metric,135.75,-73.75,90.0,top
C9,0.1,C_0201_0603Metric,154.25,-80.75,90.0,top
FB1,FerriteBead,L_Ferrocore_DLG-0302,158.75,-67.25,90.0,top
J1,USB_C_Receptacle,12401826_AMP,155.3964,-56.258549,180.0,top
J2,USB_C_Receptacle,12401826_AMP,143.9432,-56.258549,180.0,top
J4,USB_C_Receptacle,12401826_AMP,132.49,-56.258549,180.0,top
R1,5.1k,R_0201_0603Metric,143.25,-66.25,180.0,top
R10,10,R_0201_0603Metric,168.5,-74.0,-90.0,top
R11,10,R_0201_0603Metric,165.68,-72.0,180.0,top
R12,10,R_0201_0603Metric,153.57,-69.0,180.0,top
R13,10,R_0201_0603Metric,176.07,-71.5,180.0,top
R14,10,R_0201_0603Metric,169.18,-76.5,180.0,top
R15,330,R_0201_0603Metric,125.5,-56.32,-90.0,top
R16,0.1 uF,R_0201_0603Metric,147.75,-62.75,180.0,top
R17,39.2 K,R_0201_0603Metric,146.68,-84.5,180.0,top
R18,61.9 K,R_0201_0603Metric,138.5,-83.32,90.0,top
R19,330,R_0201_0603Metric,151.655,-84.5,0.0,top
R2,5.1k,R_0201_0603Metric,127.5,-64.5,0.0,top
R3,5.1k,R_0201_0603Metric,134.25,-64.0,180.0,top
R4,5.1k,R_0201_0603Metric,145.5,-66.25,180.0,top
R5,12.0 k,R_0201_0603Metric,141.5,-72.25,0.0,top
R6,R,R_0201_0603Metric,153.0,-63.0,0.0,top
R7,R,R_0201_0603Metric,156.75,-62.75,180.0,top
R8,1.0 M,R_0201_0603Metric,143.18,-71.5,0.0,top
R9,12.4k,R_0201_0603Metric,149.25,-71.18,90.0,top
U2,LAN9512i,QFN-64-1EP_9x9mm_P0.5mm_EP7.3x7.3mm,145.75,-78.25,0.0,top
Y2,KC2520Z,Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm,140.75,-70.0,90.0,top
